Entity,Service Description,Price
BHM,17 hydroxyprogesterone,$7.00 
BHM,17-hydroxypregnenolone,$41.00 
BHM,1st ord cath abd pelv ex 1st,"$2,380.00 "
BHM,1st ord cath thoracic/brachioc,"$2,228.00 "
BHM,1st ord cath venous brachial/r,"$2,265.00 "
BHM,24 hour pH study,"$1,869.00 "
BHM,24 hr pH w impedence,"$2,473.00 "
BHM,2D ECHO doppler complete,"$5,036.00 "
BHM,2D ECHO doppler complete w con,"$5,036.00 "
BHM,2D ECHO only,"$2,736.00 "
BHM,2D ECHO only fu ltd,"$1,043.00 "
BHM,2D ECHO only fu ltd w con,"$1,043.00 "
BHM,2D ECHO only w con,"$2,764.00 "
BHM,2nd ord cath venous,"$1,865.00 "
BHM,2nd ord initial abdomen/pelvis,"$1,969.00 "
BHM,2nd ord initial thoracic/brac,"$1,991.00 "
BHM,2nd-3rd ord addl abd-pelvis-e,"$1,500.00 "
BHM,2nd-3rd ord addl thoracic-bra,"$1,700.00 "
BHM,3D recon CT not on iw UC,$242.00 
BHM,3D recon CT on iw UC,$654.00 
BHM,3D recon US not on iw UC,$242.00 
BHM,3D recon US on iw UC,$654.00 
BHM,3D reconstr MRI on iw add on,$589.00 
BHM,3D reconstruction CT not on iw,$217.00 
BHM,3D reconstruction CT on iw,$589.00 
BHM,3D reconstruction US not on iw,$217.00 
BHM,3D reconstruction US on iw,$589.00 
BHM,3D render ECHO wo work station,$217.00 
BHM,3D tx plan w dose-vol histogm,"$5,627.00 "
BHM,3rd ord initial abdomen/pelvis,"$1,613.00 "
BHM,3rd ord initial thoracic/brach,"$1,678.00 "
BHM,48 hr pH study bravo,"$2,473.00 "
BHM,5-HIAA screen-urine,$6.00 
BHM,5-HIAA-urine (quantitative),$6.00 
BHM,5-nucleotidase,$7.00 
BHM,A line insertion,"$1,505.00 "
BHM,A. baumannii PCR ID,$50.00 
BHM,AAA - ABI screen,$75.00 
BHM,AAA - carotid - ABI screen,$99.00 
BHM,AAA only screen,$50.00 
BHM,AAA ultrasound screen exam,$550.00 
BHM,Abacavir oral soln 300 mg/15ml,$17.00 
BHM,Abacavir sulfate 20mg/1ml soln,$1.00 
BHM,Abacavir sulfate 300mg tab,$18.00 
BHM,Abatacept 10mg inj,$461.00 
BHM,Abciximab 10mg inj,"$10,394.00 "
BHM,Abd angio CT w wo con,"$2,949.00 "
BHM,Abd angio CT w wo con UC,"$3,321.00 "
BHM,Abd aorta runoff CTA w wo c UC,"$3,321.00 "
BHM,Abd aorta runoff CTA w wo con,"$3,107.00 "
BHM,Abd CT w con,"$4,154.00 "
BHM,Abd CT w con UC,"$4,625.00 "
BHM,Abd CT w wo con,"$4,908.00 "
BHM,Abd CT w wo con UC,"$5,757.00 "
BHM,Abd CT wo con,"$3,972.00 "
BHM,Abd CT wo con UC,"$4,423.00 "
BHM,Abd MRA w con,"$4,264.00 "
BHM,Abd MRA w con ltd,"$4,264.00 "
BHM,Abd MRA w wo con,"$5,113.00 "
BHM,Abd MRA w wo con ltd,"$5,113.00 "
BHM,Abd MRA wo con,"$3,408.00 "
BHM,Abd MRA wo con ltd,"$3,408.00 "
BHM,Abd MRI w con,"$4,615.00 "
BHM,Abd MRI w wo con,"$4,919.00 "
BHM,Abd MRI wo con,"$4,471.00 "
BHM,Abd MRI wo con ltd,"$4,471.00 "
BHM,Abd pelv CTA scan wwo con,"$7,361.00 "
BHM,Abd pelv CTA scan wwo con UC,"$8,635.00 "
BHM,Abd pelvis CT scans w con,"$7,415.00 "
BHM,Abd pelvis CT scans w con UC,"$8,698.00 "
BHM,Abd pelvis CT scans wo con,"$6,883.00 "
BHM,Abd pelvis CT scans wo con UC,"$8,074.00 "
BHM,Abd pelvis CT scans wwo con,"$8,667.00 "
BHM,Abd pelvis CT scans wwo con UC,"$10,167.00 "
BHM,Abd series w chest 1 view xr,$932.00 
BHM,Abd series w chest 1 vw XR UC,$484.00 
BHM,Abdomen 1 view XR,$706.00 
BHM,Abdomen 1 view XR UC,$484.00 
BHM,Abdomen 2 view XR,$785.00 
BHM,Abdomen 2 view XR UC,$678.00 
BHM,Abdomen 3 or more view XR,$826.00 
BHM,Abdomen 3 or more view XR UC,$736.00 
BHM,Abdomen retrop biopsy surg,"$1,424.00 "
BHM,Abdominal aorta atherectomy,"$12,524.00 "
BHM,Abdominal complete US,"$1,648.00 "
BHM,Abdominal complete US UC,"$1,764.00 "
BHM,Abdominal pelv duplex US ltd,$575.00 
BHM,Abdominal pelv duplx US ltd UC,$793.00 
BHM,Abdominal pelvic duplex US,"$1,428.00 "
BHM,Abdominal pelvic duplex US UC,"$1,590.00 "
BHM,Abdominal US limited,"$1,300.00 "
BHM,Abdominal US limited UC,"$1,391.00 "
BHM,Abdominal US limited w con,"$1,300.00 "
BHM,ABI only screen,$25.00 
BHM,Abiraterone acetate 500 mg tab,$739.00 
BHM,Abl mechanochemical 1st vein,"$3,052.00 "
BHM,Abl mechchem addl vein sing ex,"$1,579.00 "
BHM,ABL1 KINASE Mutation Analysis,$441.00 
BHM,Abla incom vn chem adh 1st ves,"$17,912.00 "
BHM,Abla incom vn chem adh sub add,"$17,912.00 "
BHM,Ablat perc cryo renal tum,"$17,332.00 "
BHM,Ablate pulm tumor perq crybl,"$17,954.00 "
BHM,Ablatherm HiFU US Cathe r,$0.01 
BHM,Ablation adrenal tumor cryo,"$9,212.00 "
BHM,Ablation adrenal tumor laser,"$9,212.00 "
BHM,Ablation bone tumor laser,"$9,212.00 "
BHM,Ablation ire abd perit omentum,"$17,442.00 "
BHM,Ablation ire liver,"$17,442.00 "
BHM,Ablation ire lungs and pleura,"$17,442.00 "
BHM,Ablation IRE lymph node,"$17,442.00 "
BHM,Ablation ire pancreas,"$17,442.00 "
BHM,Ablation ire urinary system,"$17,442.00 "
BHM,Ablation liver tumor laser,"$1,663.00 "
BHM,Ablation of lr atria -af addl,"$14,919.00 "
BHM,Ablation study AV node,"$19,393.00 "
BHM,Ablatn diff arrhyth mech addl,"$16,393.00 "
BHM,ABO discrepancy- onebld,$137.00 
BHM,Abraxane 1 mg Inj,$59.00 
BHM,Absc fistulat sinus tract xr,"$1,581.00 "
BHM,Abscess infection spect,"$2,272.00 "
BHM,Ac jnts bil w or wo weights UC,$628.00 
BHM,AC joints bil w or wo weights,$465.00 
BHM,Acarbose 50mg tab,$1.00 
BHM,Accuneb 1.25mg/3ml inh,$1.00 
BHM,Acetabular cup 29mm 62761 9,"$22,584.00 "
BHM,Acetabular cup 52mm 121732 2,"$10,812.00 "
BHM,Acetabular hip cup 19 62761 9,"$22,584.00 "
BHM,Acetabular insert 36 64300 e,"$9,259.00 "
BHM,Acetabular lck ring 26 105 6,$529.00 
BHM,Acetabular liner 10d 122132 0,"$6,173.00 "
BHM,Acetabular liner 36mm 11107 5,"$12,172.00 "
BHM,Acetabular liner 52 71335 2,"$11,615.00 "
BHM,Acetabular shell 3 hl 71335 2,"$14,697.00 "
BHM,Acetabular shell 50 54211 e,"$8,827.00 "
BHM,Acetabular shell 52 54211 e,"$8,827.00 "
BHM,Acetabular shell 56 50203 e,"$9,920.00 "
BHM,Acetabulr 10dg liner 93240 6,"$3,220.00 "
BHM,Acetabulr cup 48mm 121732 8,"$10,812.00 "
BHM,Acetabulr cup 50mm 121732 0,"$10,812.00 "
BHM,Acetabulr cup 56mm 121730 6,"$14,932.00 "
BHM,Acetabulr cup cocr 36 62600 c,"$10,247.00 "
BHM,Acetabulr cup cocr 42 62600 e,"$8,846.00 "
BHM,Acetabulr cup cocr 46 62600 f,"$9,042.00 "
BHM,Acetabulr cup d38 3mm130738 3,"$7,284.00 "
BHM,Acetabulr cup d42 3mm130742 3,"$7,284.00 "
BHM,Acetabulr cup d42 6mm130742 6,"$7,284.00 "
BHM,Acetabulr cup insrt36 12362 2,"$8,073.00 "
BHM,Acetabulr depuy 122128 4,"$6,173.00 "
BHM,Acetabulr depuy 122132 0,"$5,589.00 "
BHM,Acetabulr depuy 122136 0,"$7,602.00 "
BHM,Acetabulr depuy 122136 2,"$6,900.00 "
BHM,Acetabulr depuy 122136 6,"$6,900.00 "
BHM,Acetabulr depuy 122346 0,"$3,834.00 "
BHM,Acetabulr djortho 43098 6,"$3,910.00 "
BHM,Acetabulr hip insr32 2041c3 4,"$6,522.00 "
BHM,Acetabulr hip insrt36 62310 e,"$8,649.00 "
BHM,Acetabulr hip insrt44 62300 g,"$8,649.00 "
BHM,Acetabulr insrt 0deg 623003 r,"$6,753.00 "
BHM,Acetabulr insrt 0x3 62300 a,"$7,917.00 "
BHM,Acetabulr insrt 28mm 12362 0,"$8,073.00 "
BHM,Acetabulr insrt rest 12362 8,"$6,969.00 "
BHM,Acetabulr insrt tri10 62310 j,"$7,631.00 "
BHM,Acetabulr insrt triden69000 d,"$14,046.00 "
BHM,Acetabulr insrt triden69000 g,"$14,046.00 "
BHM,Acetabulr insrt tridnt62300 i,"$8,649.00 "
BHM,Acetabulr insrt tridnt64300 h,"$7,932.00 "
BHM,Acetabulr liner 10d 122136 6,"$7,602.00 "
BHM,Acetabulr liner 42 e 626004 r,"$8,740.00 "
BHM,Acetabulr liner 46 f 626004 r,"$8,740.00 "
BHM,Acetabulr liner cocr 62600 j,"$13,255.00 "
BHM,Acetabulr linr 32x50 71337 0,"$7,426.00 "
BHM,Acetabulr shell 3h 46 71335 6,"$9,563.00 "
BHM,Acetabulr shell 3h 50 71335 0,"$9,399.00 "
BHM,Acetabulr shell 54 00700005 0,"$28,474.00 "
BHM,Acetabulr shell 58mm 121730 8,"$6,063.00 "
BHM,Acetabulr shell 62 00700006 0,"$28,474.00 "
BHM,Acetabulr ti cup 48mm 50203 c,"$11,630.00 "
BHM,Acetabulr ti cup 54mm 50203 e,"$9,729.00 "
BHM,Acetabulr ti shell 54 50902 e,"$14,460.00 "
BHM,Acetabulr ti shell 58 50902 f,"$14,460.00 "
BHM,Acetabulr tridnt 54211 0g,"$8,827.00 "
BHM,Acetabulr tridnt 54211 4f,"$3,811.00 "
BHM,Acetabulr tridnt 54211 6f,"$8,827.00 "
BHM,Acetabulr tridnt 54211 8g,"$8,827.00 "
BHM,Acetabulr tridnt 54211 a,"$8,827.00 "
BHM,Acetabulr tridnt 54211 c,"$3,925.00 "
BHM,Acetabulr tridnt 54211 d,"$7,789.00 "
BHM,Acetabulr tridnt 54211 h,"$7,789.00 "
BHM,Acetabulr tridnt 542114 r,"$7,529.00 "
BHM,Acetabulr tridnt 542115 r,"$7,529.00 "
BHM,Acetabulr tridnt hemi 50811 e,"$8,987.00 "
BHM,Acetabulr tridnt psl 54211 d,"$7,789.00 "
BHM,Acetabulr tritaniu54 509025 r,"$13,978.00 "
BHM,Acetabulr tritaniu58 509025 r,"$13,978.00 "
BHM,Acetabulr tritanium68 50902 h,"$14,037.00 "
BHM,Acetabulr tritanium72 50902 i,"$16,388.00 "
BHM,Acetabulr zimmer 10000 4,"$16,376.00 "
BHM,Acetaburl bip cup linr50014 2,"$3,312.00 "
BHM,Acetaburl cup trident 65c3 0,"$5,996.00 "
BHM,Acetaburl liner 36 xl223 2,"$10,074.00 "
BHM,Acetaburl liner 36 xl223 4,"$10,074.00 "
BHM,Acetaburl ti 60 shell 50902 f,"$16,388.00 "
BHM,Acetaminophen 10mg/ml 100ml vl,$442.00 
BHM,Acetaminophen 10mg/ml 1ml ped,$4.00 
BHM,Acetaminophen 120mg supp,$0.00 
BHM,Acetaminophen 120mg supp UC,$0.00 
BHM,Acetaminophen 160mg susp,$0.00 
BHM,Acetaminophen 160mg/5ml 20.3ml,$0.00 
BHM,Acetaminophen 325mg supp,$0.00 
BHM,Acetaminophen 325mg tab,$0.00 
BHM,Acetaminophen 325mg tab UC,$0.00 
BHM,Acetaminophen 32mg/ml susp UC,$0.00 
BHM,Acetaminophen 500mg tab,$0.00 
BHM,Acetaminophen 500mg tab UC,$0.00 
BHM,Acetaminophen 650mg supp,$0.00 
BHM,Acetaminophen 80mg supp UC,$2.00 
BHM,Acetaminophen Drug Level,$269.00 
BHM,Acetaminophen liq 80mg/2.5ml,$0.00 
BHM,Acetaminophen susp 80mg/2.5ml,$0.00 
BHM,Acetaminophen/caff/butal tab,$1.00 
BHM,Acetazolamide 125mg tab,$3.00 
BHM,Acetazolamide 25 mg/1 ml susp,$1.00 
BHM,Acetazolamide 250mg tab,$8.00 
BHM,Acetazolamide 500mg sr cap,$17.00 
BHM,Acetazolamide 50mg/ml 1ml liq,$1.00 
BHM,Acetazolamide sodium 500mg vl,$229.00 
BHM,Acetazolamide/water 100mg/ml,$85.00 
BHM,Acetone-lab,$137.00 
BHM,Acetylchol receptor block Ab,$15.00 
BHM,Acetylchol receptor modul Abs,$80.00 
BHM,Acetylcholin chlor 0.06ml drop,$0.00 
BHM,Acetylcholine receptor assay,$8.00 
BHM,Acetylcystein 10% 400mg/4mlinh,$9.00 
BHM,Acetylcystein 20% 800mg/4mlinh,$16.00 
BHM,Acetylcystein D5W 10mg/mlPEDIV,$6.00 
BHM,Acetylcystein D5W 40mg/mlPEDIV,$24.00 
BHM,Acetylcysteine 10% 3g/30ml inh,$41.00 
BHM,Acetylcysteine 100 mg inj,$45.00 
BHM,Acetylcysteine 20% 6g/30ml inh,$57.00 
BHM,ACH-bone mar cytogenetics cult,$221.00 
BHM,ACH-fish cyto interp-99 1,$225.00 
BHM,ACH-fish cyto interp-99 4,$363.00 
BHM,Achille sut pars sys ar88 j,"$20,825.00 "
BHM,Achille sut pars sys ar886 s,"$7,050.00 "
BHM,ACH-mol path proc level 7,"$1,331.00 "
BHM,Acid fast smear,$219.00 
BHM,Acid fast smear(c),$212.00 
BHM,Acid phosphatase-prostatic,$7.00 
BHM,Act on bld-or,$110.00 
BHM,ACTH - Corticotropin,$19.00 
BHM,Acticoat drsg 4,$80.00 
BHM,Acticoat drsg 4x4 - fle 3,$29.00 
BHM,Acticoat drsg 4x4 - h f,$56.00 
BHM,Acticoat drsg 4x5 - h f,$64.00 
BHM,Acticoat drsg 4x8 - h f,$53.00 
BHM,Actidose 25gm / 120ml liq,$0.00 
BHM,Activase recombinant 1mg inj,$440.00 
BHM,Activated charcoal 25g/120ml,$0.00 
BHM,Activated coagulation time-OR,$41.00 
BHM,Activated protein C resistance,$75.00 
BHM,Acute thrombosis imaging bilat,"$2,156.00 "
BHM,Acyclovir 200mg cap,$1.00 
BHM,Acyclovir 200mg susp 5ml,$1.00 
BHM,Acyclovir 400mg tab,$1.00 
BHM,Acyclovir 5% oint 30gm,"$1,595.00 "
BHM,Acyclovir 5mg/1ml ped/neo,$2.00 
BHM,Acyclovir 800mg tab,$1.00 
BHM,Acyclovir oral susp 400mg/10ml,$1.00 
BHM,Acyclovir sodium 50mg/ml 10ml,$165.00 
BHM,Acylcarnitines,$10.00 
BHM,A-D foil pk oint 5gm,$0.00 
BHM,A-D ointment 120 gm,$0.00 
BHM,Adalimumab 20mg inj,"$9,176.00 "
BHM,Adamts13 activity,$168.00 
BHM,Adapter 16ga syrg L,$0.00 
BHM,Adapter acmi stry sislgcaa i,$0.00 
BHM,Adapter aerosol T-connect,$0.00 
BHM,Adapter bottle univ h93842 0,$0.00 
BHM,Adapter cath 9,$0.00 
BHM,Adapter check flo cfm- 0,$0.00 
BHM,Adapter conver 48-403 3,$0.00 
BHM,Adapter cuff 22mm 1421,$0.00 
BHM,Adapter double male LL,$0.00 
BHM,Adapter fiberoptic swivel,$0.00 
BHM,Adapter gw Guardian hemo8 0,$0.00 
BHM,Adapter gw nc Guardian hem8 5,$0.00 
BHM,Adapter inf arthro cr 0037 0,$0.00 
BHM,Adapter lead to electrode,$0.00 
BHM,Adapter LL multi hold 364 2,$0.00 
BHM,Adapter luer aspira 4992 5,$0.00 
BHM,Adapter luer stub 18g d,$0.00 
BHM,Adapter mask intb 22mmx15mm id,$0.00 
BHM,Adapter multi 15mm id 22mm od,$0.00 
BHM,Adapter nutri oral tip 82 8,$0.00 
BHM,Adapter nutri Ysiteport 368 r,$0.00 
BHM,Adapter oxygen diamond,$0.00 
BHM,Adapter perfusion thi 301 1,$0.00 
BHM,Adapter pericardial sump m e,$0.00 
BHM,Adapter pressure line,$0.00 
BHM,Adapter rci 384 0,$0.00 
BHM,Adapter rest neb inf t,$0.00 
BHM,Adapter spike dual arthro- o,$0.00 
BHM,Adapter suction Nept700528 1,$0.00 
BHM,Adapter suction plug 6 adp6 n,$0.00 
BHM,Adapter suction wall vacu x,$0.00 
BHM,Adapter Toomey disposa e,$0.00 
BHM,Adapter trach T disp 001 0,$0.00 
BHM,Adapter tube aspira 992 7,$0.00 
BHM,Adapter tube feed dual p t,$0.00 
BHM,Adapter tube feed g,$0.00 
BHM,Adapter tube Stay Safe n,$0.00 
BHM,Adapter tube Y db spik ar62 y,$0.00 
BHM,Adapter Tuohuy side3-6f g14 7,$0.00 
BHM,Adapter univ Salter b,$0.00 
BHM,Adapter urolok 11 730- 0,$0.00 
BHM,Adapter valve IV access lf x,$0.00 
BHM,Adapter valve T 15mm 002 8,$0.00 
BHM,Adapter valve T 22mm 002 1,$0.00 
BHM,Adapter valve T airlife 002 0,$0.00 
BHM,Adapter vent elbow 001 0,$0.00 
BHM,Adapter Y 10005,$0.00 
BHM,Adapter Y dlp 10 3,$0.00 
BHM,Adapter Y ICD-pmkr med 6 6,$863.00 
BHM,Adaptr ans sevofluran110030 0,$297.00 
BHM,Adaptr endosc air chanel mh 8,$0.00 
BHM,Adaptr ring barrier1.16 79 2,$0.00 
BHM,Adaptr tube salivary mp g05 1,$0.00 
BHM,Addl vessel angio rad,"$1,003.00 "
BHM,Adenosine 3 mg/ml 20 ml vial,"$1,012.00 "
BHM,Adenosine 300mcg/ml 1ml ped IV,$20.00 
BHM,Adenosine 3mg/ml 2ml,$70.00 
BHM,Adenosine 3mg/ml 30ml,"$1,595.00 "
BHM,Adenosine deaminase on CSF,$115.00 
BHM,Adenovirus 40-41 antigen-stool,$14.00 
BHM,Adenovirus antigen-not stool,$32.00 
BHM,Adenovirus by PCR,$78.00 
BHM,Adenovirus isolation,$36.00 
BHM,Adenovirus titer-blood,$13.00 
BHM,Adenovirus titer-resp pnl(c),$69.00 
BHM,Adhesive Bioglue 2ml bg351 s,"$5,645.00 "
BHM,Adhesive bioglue 5ml bg3510 s,"$24,038.00 "
BHM,Adhesive Bioglue appl 934 4,$402.00 
BHM,Adhesive Bioglue bgat d,$416.00 
BHM,Adhesive bioglue tip bga y,"$4,388.00 "
BHM,Adhesive bioglue tip bgat1 y,"$5,216.00 "
BHM,Adhesive bioglue tip bgat2 y,"$6,971.00 "
BHM,Adhesive bioglue10ml bg3502 s,"$28,382.00 "
BHM,Adhesive Dermabnd zip 8 ps1 0,$690.00 
BHM,Adhesive Dermabnd zip16 ps1 0,$863.00 
BHM,Adhesive Dermabond 22 clr22 s,$758.00 
BHM,Adhesive Dermabond dh 2,$211.00 
BHM,Adhesive Dermabond pro n,$269.00 
BHM,Adhesive Dermbnd adv0.7mldn 2,$173.00 
BHM,Adhesive lq Mastisol vial l,$17.00 
BHM,Adhesive medical 080 8,$265.00 
BHM,Adhesive release sensi 413 9,$0.00 
BHM,Adhesive remv wipe 413 0,$0.00 
BHM,Adhesive remvr detach 051 6,$68.00 
BHM,Adhesive skin Prineo clr60 s,"$1,227.00 "
BHM,Adjust-revs bone fix device,"$14,016.00 "
BHM,Admin 1st vacc toxoid injection,$143.00 
BHM,Admin each additional vacc tox inj,$143.00 
BHM,Admin vacc flu injection,$143.00 
BHM,Admin vacc pneumonia injection,$143.00 
BHM,Admission kit supplm NICU56 8,$0.00 
BHM,Adol bariatric exerc 3 month,$250.00 
BHM,Ado-tratuzumab emtansine 1mg,$168.00 
BHM,Adrenal angio bilateral rad,"$5,738.00 "
BHM,Adrenal angio unilat rad,"$4,666.00 "
BHM,Adrenal antibody titer,$7.00 
BHM,Adsorption- onebld,$150.00 
BHM,Adult bariatric exercise progm,$250.00 
BHM,AdV DNA Quant Real Time PCR,$275.00 
BHM,Advair diskus 100/50 puf14 inh,$286.00 
BHM,Advair diskus 250/50 dsk14 inh,$286.00 
BHM,Advair diskus 500/50 dsk14 inh,$466.00 
BHM,Aerobic bacteria id-each (c),$169.00 
BHM,Aerochamber dev/ m t,$194.00 
BHM,Aerochamber mask lrg mist,$99.00 
BHM,Aerochamber mask med m t,$261.00 
BHM,Aerochamber mask small mist,$99.00 
BHM,Aerochamber w/flow sig l,$0.00 
BHM,Aerosol pentamidine treatment,$626.00 
BHM,Aerosol qd sub UC,$189.00 
BHM,Aerosol tx init UC,$189.00 
BHM,Aerosol Tx initial,$189.00 
BHM,Aerosol Tx qd sub,$189.00 
BHM,Afinitor 5 mg tab,"$2,363.00 "
BHM,AFP on amniotic fluid,$15.00 
BHM,Ag screen unit - pt serum,$153.00 
BHM,Agar dilution mic - per drug,$182.00 
